id,category,question,answer,url,keywords
Q001,一、選課相關,如何加退選課程？,請參閱教務處網頁【學生專區】:選課系統說明 > 如何登入選課系統進行選課,https://www.youtube.com/watch?v=aAgqg-4zGyU,一、選課相關 教務處 待分派
Q002,一、選課相關,選課系統按下「完成本階段選課」之後，我還可以繼續選嗎？,如已按下「完成本階段選課」，表示您已確認本階段選課，無法再進行課程加退異動。,https://www.youtube.com/watch?v=aAgqg-4zGyU,一、選課相關 教務處 待分派
Q003,一、選課相關,我一定要按「完成本階段選課」鍵嗎？不按會怎樣？,不一定。若不按「完成本階段選課」，在當日選課時間結束前仍可繼續調整課程。若按下「完成本階段選課」，則代表已完成該階段選課，之後即無法再修改。,,一、選課相關 教務處 待分派 1151註冊選課手冊.pdf頁-32
Q004,一、選課相關,最低／最高修課學分是多少？,"關於學分數上限，一般學生每學期最多可修 22 學分（法律系學生上限則為 25 學分）。若符合特殊條件，可以額外提高上限：輔系生可加修 4 學分；雙主修生或前一學期學業總平均達 80 分以上的同學，則可額外加修 6 學分。
至於每學期的最低修課學分要求，日間部與進修學士班一至三年級同學至少需修滿 16 學分，四年級同學則至少需修滿 8 學分。",https://drive.google.com/file/d/170jRctgdF6LcrfrQlEHHyXeWKEy1QYSJ/view?usp=drive_link,一、選課相關 教務處 待分派
Q005,一、選課相關,可以超修或減修嗎？如何申請？,"超修：
1.大學部學生：依選課辦法第3條規定，上學期成績80分(含)以上，可加修6學分或6小時課程。
2.研究所學生：博士班、碩士班經系所主管核可，可加修1門課程。
3.無需申請，可直接於選課第三階段進行加選。

減修：
自115學年度起已取消減修制度，學生每學期修課學分不得低於規定下限。大學部一至三年級每學期最低16學分、四年級最低8學分。若選課低於最低學分，且於加退選截止後一週內仍未補足，依規定應令休學。",,一、選課相關 教務處 待分派 B11 世新大學選課辦法(教務會議115.5.7).pdf
Q006,一、選課相關,可以上修嗎?,原則上課程不開放上修，針對單一課程可詢問開課單位是否有上修機會。,,一、選課相關 教務處 待分派
Q007,一、選課相關,可以跨校/系選課嗎？,"跨校選課(校際選課)：
本校實施校際選課，以教育部認可之國內公私立大學、獨立學院及其研究所為範圍；每學期修習學分數以八學分為限(經政府、學校推薦、遴選之學生不在此限)，修習課程學分數應併入當學期學分計算。經核准選修他校課程之學生仍須於本校選課時限內，依相關規定完成選課登記手續，未將申請表送回教務處註冊課務組者，不承認其校際(跨校)選課學分。

跨系選課：
本校學生得選修本系、所、及學位學程課程表外之他學系、所及學位學程相關課程，唯必須先將本學系、所、學位學程、本年級課程表必修及應修之選修課程選齊。前述單位若有特殊選課規定，例如：不得上修、擋修、限本學系(學位學程)學生修讀、外學系(學位學程)學生不可選修、任課教師特殊要求者等)，學生須向各學系、所及學位學程查詢及確認。",,一、選課相關 教務處 待分派 世新大學校際選課作業辦法
Q008,一、選課相關,全學年的課程，單一學期被當要怎麼辦?,全學年課程缺上補上、缺下補下，補完後即可獲得全學年學分。,,一、選課相關 教務處 待分派
Q009,一、選課相關,課程衝堂怎麼辦？,"依據世新大學選課辦法規定，本校學生所修讀之課程，其上課時間不得衝突(含不同學制)。如有衝突者，衝突課程，其學期成績均以零分計算，故應改選其他時間不衝突的科目。若與本年級必修課衝堂，則應以必修為優先。

另因跨系、雙主修或輔系導致衝堂者，則需審慎衡量輕重緩急，並以本系之課程修讀為重，若當學期無法修讀，則另擇它學期進行。",,一、選課相關 教務處 待分派 世新大學選課辦法
Q010,一、選課相關,必修課可以延後修嗎？,"依據世新大學選課辦法第六條規定：「....且本學系、所及學位學程開設之必修課程,學生以在該年級、該班級修讀為原則。各學系、所、學位學程若有特殊之選課規定(如:不得上修、擋修、限本學系(學位學程)學生修讀、外學系(學位學程)學生不可選修、任課教師特殊要求者及各學系、所及學位學程之系、所及學位學程單位規定必、選修群組課程),學生須向各學系、所及學位學程查詢;必、選修課程如有上述特殊之選課規定,由各學系、所及學位學程單位自行決定;學生如有自行加選或確有不符規定之情形,各學系、所及學位學程單位得逕行予以刪除課程或自行配班,學生不得有異議。」",https://drive.google.com/file/d/170jRctgdF6LcrfrQlEHHyXeWKEy1QYSJ/view,一、選課相關 教務處 待分派
